,website,back_color,body_font,body_text,last_update,link_color,text_color,title_font,title_text
21,https://galar-trainer-blake.tumblr.com/,#6b9296,Helvetica Neue, I’m currently in the process of building a dragon themed team in Sword cause I’m a dragon nerd I kn,2019-12-04 02:50:22,#1b495e,#1b495e,Gibson,
22,https://snoozlebee.tumblr.com/,#FAFAFA,Helvetica Neue, tfw you gotta put together a ref sheet for your character but they’re actually a zillion characters,2019-12-04 05:32:39,#529ECC,#444444,Gibson,
23,https://jihen.tumblr.com/,#d8e8e9,Helvetica Neue, Is parasite a movie that has to be seen in theaters ,2019-12-03 00:52:55,#102029,#367987,Clarendon Text Pro,
24,https://peachains.tumblr.com/,#FFFFFF,Helvetica Neue,,2019-07-25 14:15:47,#000000,#000000,Calluna,
25,https://matchbox-mouse.tumblr.com/,#FAFAFA,Helvetica Neue, Sunspots on the mountains Alberta Sunny day in the Rockies From a snowy day in Alberta Looking out ,2019-12-02 23:30:35,#529ECC,#ffbaee,Gibson,
26,https://fuckyeahvintage-retro.tumblr.com/,#f1f1f1,Helvetica Neue, 1961 TrailorBoat Trailer via Drive In Plattsburgh New York 1976 © John Margolies via bebelestrange ,2019-11-19 00:48:27,#dadada,#bbbaba,Caslon FS,
27,https://unfriendlyghoul.tumblr.com/,#eeeeee,Helvetica Neue, throw back to that time i dislocated my shoulder going That Hard in wii baseball BITCH SMASH that l,2019-12-03 15:14:59,#210902,#9A1629,Calluna,
28,https://marianhalcombes.tumblr.com/,#F6F6F6,Helvetica Neue, i’ve decided my 10 year plan is move to ann arbor or ypsi get a job at a university press graduate ,2019-12-03 23:27:53,#529ECC,#444444,Helvetica Neue,
29,https://septemberequinox.tumblr.com/,#AD5638,Helvetica Neue, oh deer wack just posting to say people should drop their gaia online usernames because i just logg,2019-10-31 22:39:31,#a81048,#222222,1785 GLC Baskerville, 
30,https://tryclops.tumblr.com/,#86FF7E,Helvetica Neue, stop talking to me about himbos unless it’s an orc himbo thanks new sidebar image of my monstersona,2019-12-04 05:34:35,#4440C2,#9d62a9,Gibson, 
31,https://cath-avery.tumblr.com/,#FFFFFF,Helvetica Neue,,2019-12-03 23:54:32,#C91818,#A30C29,Streetscript,
32,https://keirahknightley.tumblr.com/,#027C6C,Helvetica Neue,,2019-12-04 02:57:02,#FFD000,#FFFDFD,Sans Serif,
33,https://woolay.tumblr.com/,#edffa8,Helvetica Neue, https www twitch tv wexthejanitor transparent bono wes for your blog i tired for no REASON Thanks m,2019-12-04 02:11:57,#000000,#61f721,News Gothic FS,
34,https://rensaven.tumblr.com/,#556060,Helvetica Neue, I L O V E 💛♥💛♥💛💛♥💛♥💛♥💛 ♥♥♥ collab with cathzz I ❤💕❤ Thank you 。゜゜ ´Ｏ ゜゜。 Thank you o´▽ o ❤ For mrsh,2019-10-30 20:57:45,#ECE1E1,#FFFCFD,Sans Serif,
35,https://sovietnam.tumblr.com/,#fffdfe,Helvetica Neue,,2019-12-04 05:54:36,#ff92ce,#888888,Gibson,
36,https://zuzuthefirelord.tumblr.com/,#000000,Helvetica Neue,,2019-12-03 21:45:11,#86BBD9,#4bffff,Arquitecta,
37,https://pencilshaevings.tumblr.com/,#ec5868,Helvetica Neue, hard at work on volume 3 have a 💖🌟MAGICAL CHET🌟💖 big glasses bigger cheeks commission for suizidale,2019-07-14 23:43:55,#fce7aa,#fce7aa,SimHei,
38,https://fijiooz.tumblr.com/,#222222,Helvetica Neue, hi i’m sensitive and insecure pls validate and be kind to me or i really don’t get how someone coul,2019-12-03 21:49:37,#1c0000,#444444,Helvetica Neue,
39,https://reallyreallyreallytrying.tumblr.com/,#FFFFFF,Helvetica Neue, here’s my thoughts on baby yoda baby yoda hatched out of an egg you can tell from looking at him he,2019-12-03 01:45:43,#ff0000,#444444,Sans Serif, My contact at the rat factory The Ferret
40,https://glittergradient.tumblr.com/,#FFFFFF,Helvetica Neue, phil’s nose twitching every december 3rd means something I don’t know what but it means something i,2019-12-03 20:33:07,#13acb2,#FF1594,Capita, 
41,https://meorzo.tumblr.com/,#FAFAFA,Helvetica Neue, Boo Forgot about me already No way I’m back I’ve been through lots of adventures and plenty of thin,2015-07-30 16:19:49,#529ECC,#444444,Gibson,
42,https://knightofsteles.tumblr.com/,#F6F6F6,Helvetica Neue, You okay It’s been a day You’re taking my heart by storm I’m lost in your love lost in your love I ,2019-12-03 20:00:33,#529ECC,#444444,Helvetica Neue,
43,https://microwavemagician.tumblr.com/,#FFE7CF,Helvetica Neue,,2018-07-29 17:48:21,#674119,#444444,Gibson, Witchy Tips and Tricks
44,https://yuujin-ei.tumblr.com/,#FAFAFA,Helvetica Neue,,2019-11-30 23:27:52,#529ECC,#444444,Gibson, 
45,https://thvndermag.tumblr.com/,#FFFFFF,Helvetica Neue, www instagram com death by syntax www instagram com vngnc www instagram com auguste lefou www insta,2019-12-04 06:34:48,#1a1a1a,#151414,Avalon,
46,https://emptyshoppingmall.tumblr.com/,#F9F9F9,Helvetica Neue, anger and dissonance are unbelievable fuel to the creative spirit ,2019-11-29 13:39:03,#633B19,#835E3D,Avalon,
47,https://lunarfoxes.tumblr.com/,#FAFAFA,Helvetica Neue,,2019-06-06 02:50:19,#D3B7B7,#D3B7B7,Sans Serif,
48,https://mwagneto.tumblr.com/,#050505,Helvetica Neue, i feel like throwing up but like emotionally ok like… Tulio is kinda an asshole ngl Miguel had like,2019-12-03 23:40:35,#60c7ff,#60c7ff,Calluna, 
49,https://watergator.tumblr.com/,#CEB19C,Helvetica Neue, december 3rd new day part three of the december fic advent 2019 series prompt sunlight phil wakes u,2019-12-03 23:46:16,#FFFFFF,#FFFFFF,Sans Serif,
50,https://cutjepie.tumblr.com/,#ffffff,Helvetica Neue,,2019-12-03 22:52:04,#FFFFFF,#F6DEDE,Streetscript,
51,https://everyteenager4free1.tumblr.com/,#FAFAFA,Helvetica Neue, hey guys i hope everyone is doing well sometimes i see posts from here pop up on my dashboard and c,2019-09-18 21:00:09,#529ECC,#444444,Gibson,
52,https://inritum.tumblr.com/,#FFFFFF,Helvetica Neue, blzdyth ,2016-04-03 14:11:11,#000000,#444444,Gibson,
53,https://meiji-choco.tumblr.com/,#FAFAFA,Helvetica Neue, However what if these things are still not enough And you still see yourself wanting to have more F,2016-08-02 14:47:25,#529ECC,#444444,Gibson,
54,https://milsostudy.tumblr.com/,#FAFAFA,Helvetica Neue, sorry i should have clarified if you want the new blog url please send me an ASK off anon my messag,2018-04-25 20:04:57,#000000,#444444,Sofia Pro,
55,https://itsaravetree.tumblr.com/,#F6F6F6,Helvetica Neue,,2019-12-03 22:05:32,#0098FF,#444444,Grumpy Black 48, 
56,https://everythingfox.tumblr.com/,#F7C48F,Helvetica Neue, Mei Meows Mr Pokee ,2019-12-04 06:22:03,#251300,#231200,1785 GLC Baskerville,
57,https://tonystarkssnipples.tumblr.com/,#FAFAFA,Helvetica Neue, This show was the first thing I binged on Disney ,2019-12-04 00:42:04,#529ECC,#444444,Gibson,
58,https://cherinotes.tumblr.com/,#ffffff,Helvetica Neue, 07 21 2019 Which do you prefer Handwritten notes or digital notes Writing digitally allows you to m,2019-06-21 16:00:41,#ffd9d9,#ffc7c7,Kaiti,
59,https://katherinebarlow.tumblr.com/,#674119,Helvetica Neue, Soup Dec 2 2019 Ostensibly a soupe au pistou but adapted based on what ingredients I have and how a,2019-12-03 10:31:45,#000000,#000000,Gibson, Shakespeare plays as screencaps from The Good Place 
60,https://sartorialadventure.tumblr.com/,#FAFAFA,Helvetica Neue, Steampunk utility skirt draping guide click to enlarge This is the crown of Saint Michael which is ,2019-12-04 00:00:20,#529ECC,#444444,Gibson,
61,https://m4ge.tumblr.com/,#222222,Helvetica Neue, i took 2 classes with the same prof this semester and the slightly different energies in these emai,2019-12-04 00:44:01,#F1993C,#F1993C,Gibson,
62,https://brideofthewatergod.tumblr.com/,#FAFAFA,Helvetica Neue, “Would you give up being a god for me ” On a moonlit night who is it that you think of When you are,2017-07-05 17:40:25,#529ECC,#444444,Gibson,
63,https://the-goddamn-robot.tumblr.com/,#5BBC8C,Helvetica Neue,,2019-12-04 04:22:18,#F3A757,#444444,Gibson, 
64,https://resonance.co.vu/,#000000,Helvetica Neue,,2016-01-02 09:32:49,#FF492F,#DA3E28,Grumpy Black 48,
65,https://sandandglass.tumblr.com/,#F6F6F6,Helvetica Neue, Instagram craigrobertson Instagram craigrobertson Instagram craigrobertson Instagram craigrobertson,2018-02-26 00:24:43,#529ECC,#444444,Helvetica Neue,
66,https://tolackcolour.tumblr.com/,#FAFAFA,Helvetica Neue, ”Run Run until the pain in your legs compensates for the pain in your heart And then keep running R,2018-07-17 06:27:47,#CCCCCC,#444444,Bodoni Recut FS,
67,https://pumpkin-kitty-kat.tumblr.com/,#0A0225,Helvetica Neue,,2019-12-04 00:04:24,#76F9A0,#CCCCCC,Gibson,
68,https://captvinvanity.tumblr.com/,#FFFFFF,Helvetica Neue,,2019-11-10 17:41:10,#D9C8E4,#A4A4A4,Arquitecta,
69,https://notebookist.tumblr.com/,#B63421,Helvetica Neue,,2019-09-20 16:15:10,#B63421,#000000,Alternate Gothic,
70,https://glutko.tumblr.com/,#473652,Helvetica Neue, Me and my son Terry who I wish was dead Just found out that the guy who spams up YouTube with those,2019-12-04 03:44:22,#FFFFFF,#FFFCFC,Sans Serif,
71,https://likeaflowerfullybloomed.tumblr.com/,#ffffff,Helvetica Neue, 😂😂😂 Under the covers like shit Never stop evolving 💎✨ Love that ass amp those boots ❤️ ,2019-12-02 04:59:31,#000000,#ee5b00,Streetscript,
72,https://ellevintage.tumblr.com/,#FFF7F5,Helvetica Neue, George Harrison c late 1950s ,2019-11-30 02:47:49,#FF9688,#FF9688,Grumpy Black 48,
73,https://just-looking-4-a-lil-friendship.tumblr.com/,#FAFAFA,Helvetica Neue, it was “La famiglia giorgo’s” in Boston town of best stuffed eggplant ive ever had fame I shall nev,2019-11-04 15:16:35,#529ECC,#444444,Gibson,
74,https://lilgivenchyprincess.tumblr.com/,#000000,Helvetica Neue,,2019-12-02 23:47:26,#FFFFFF,#a87369,Bodoni Recut FS,
75,https://yamujiburo.tumblr.com/,#000000,Helvetica Neue, someone on insta called them mommy rolls and 😩😩😩 im SOFT i love tums words can NOT describe how emb,2019-12-04 00:25:07,#abb892,#da454f,Gibson,
76,https://shepaintedherdreamswiththestars.tumblr.com/,#FAFAFA,Helvetica Neue,,2014-06-14 14:50:15,#529ECC,#444444,Gibson,
77,https://roccocantodea.tumblr.com/,#F6F6F6,Helvetica Neue,,2019-12-04 02:41:15,#529ECC,#444444,Helvetica Neue,
78,https://mjalti.tumblr.com/,#1E6776,Helvetica Neue, been up since 4 am… time to go to sleep and get up at 4 am again God’s serving my brain fried for t,2019-12-04 03:09:19,#F9F29A,#EBDC56,Arquitecta, 
79,https://nerdwerds.tumblr.com/,#FAFAFA,Helvetica Neue, “Fuck the remake ” my current desktop background it me ,2018-08-25 03:54:19,#529ECC,#444444,Gibson,
80,https://angelsblooming.tumblr.com/,#ece0c0,Helvetica Neue,,2019-07-17 19:35:56,#a76a22,#444444,Baskerville,
81,https://brianmay-be.tumblr.com/,#fdb0a9,Helvetica Neue, so that nap turned into a full 5 hours of sleep and now i’m eating pizza and watching law and order,2019-12-04 02:48:14,#ff6767,#FFFFFF,Bodoni Recut FS,
82,https://net.tumblr.com/,#FAFAFA,Helvetica Neue, via www newsvine com XTEES “The Indian Youth Hell ” via bearwithclaws com I was so closed to her Sh,2007-07-06 06:05:48,#529ECC,#444444,Gibson,
83,https://awake-society.tumblr.com/,#F6F6F6,Helvetica Neue, People won’t understand your journey and that’s okay They don’t need to Therefore you need to start,2019-12-04 03:32:49,#529ECC,#444444,Helvetica Neue, 
84,https://theavengers.tumblr.com/,#000000,Helvetica Neue, It’s good to see you too sis trick ass bitch Iron Man 2 2010 Black Widow 2020 Black Widow 8 2014 Bl,2019-12-04 01:58:53,#FFFFFF,#FFFFFF,Alternate Gothic,
85,https://emilieblunt.tumblr.com/,#000000,Helvetica Neue,,2019-11-12 00:48:32,#907070,#F6F6F6,Bookmania,
86,https://fire-go-on-and-fire.tumblr.com/,#0205BE,Helvetica Neue, El Rancho Hotel Gallup New Mex ,2019-11-20 22:10:59,#FFFFFF,#FFFFFF,1785 GLC Baskerville,
87,https://spiderpider.tumblr.com/,#FAFAFA,Helvetica Neue,,2019-12-03 20:22:12,#529ECC,#444444,Gibson,
88,https://secluded-soul.tumblr.com/,#D5E8E8,Helvetica Neue, If You Stand Strong Nothing Can Knock You Down Dont forget who you are Who you’ve fought to become ,2019-09-15 03:51:18,#E2B111,#E2B110,Pratt Pro,
89,https://biggest-gaudiest-patronuses.tumblr.com/,#fea3c4,Helvetica Neue, the purge but instead one day out of the year we murder the top 100 richest people on the planet am,2019-12-04 02:30:22,#102029,#444444,Calluna, 
90,https://nitsumii.tumblr.com/,#F6F6F6,Helvetica Neue,,2019-12-03 00:30:32,#ffc2b3,#bad0f1,Capita,
91,https://residentevil2remake.tumblr.com/,#000000,Helvetica Neue, like… carlos looks good but i don’t like how bright he is like they are not the same with jill in o,2019-12-03 16:41:42,#992727,#FFFFFF,Garamond Classic FS, 
92,https://beshinoe.tumblr.com/,,,,2019-11-12 07:44:25,,,,
93,https://bpdmemes.tumblr.com/,#ECE1CC,Helvetica Neue,,2019-12-02 09:50:01,#41873A,#444444,Gibson, 
94,https://fan-art-ic.tumblr.com/,#FAFAFA,Helvetica Neue, Gross bug mention As someone who would freak themselves out with thoughts of bugs carpeting the flo,2019-12-04 06:18:19,#529ECC,#444444,Gibson, 
95,https://versacetbh.tumblr.com/,#000000,Helvetica Neue,,2017-12-13 22:11:35,#FFFFFF,#FFFFFF,Alternate Gothic,
96,https://geritsel.tumblr.com/,#FAFAFA,Helvetica Neue, William Merritt Chase Portrait of James Abbott McNeill Whistler William Merritt Chase A Girl in Jap,2019-12-01 13:29:32,#529ECC,#444444,Gibson,
97,https://aredhels.tumblr.com/,#FFFFFF,Helvetica Neue, 5 4k celebration » sansa stark for zoyalinas ♥︎ ,2019-12-04 05:30:12,#222222,#222222,Caslon FS,
98,https://loveandjustice.tumblr.com/,#FDCCC9,Helvetica Neue, Don’t shit on my dirty mirror I’m cleaning it now My strongest contender is this shirt I take my ro,2019-12-03 09:17:15,#AC6161,#AC6161,Calluna,
99,https://andrea-the-playa.tumblr.com/,#F2E0EB,Helvetica Neue, 9 37 sunday day 3 of rewriting notes but it is the only way for me to effectively unfortunately yin,2016-11-20 01:39:41,#CCCCCC,#444444,Grumpy Black 48,
100,https://dnpnews.tumblr.com/,#FFFFFF,Helvetica Neue, Phil’s instagram activity ,2019-12-03 20:27:07,#000000,#000000,Alternate Gothic, 
101,https://strawberry-crocodile.tumblr.com/,#F6F6F6,Helvetica Neue,,2019-12-04 06:06:33,#529ECC,#444444,Helvetica Neue,
102,https://predeath.tumblr.com/,#F6F6F6,Helvetica Neue, emilio de la morena fw 2016 elie saab fw 2015 versace fw 2015 ermanno scervino ss 2016 emilio de la,2017-12-30 17:49:11,#529ECC,#444444,Helvetica Neue,
103,https://thepeggedqueen.tumblr.com/,#E8EEFF,Helvetica Neue, Hey reminder to primmies that we’re all shit eaters but you most of all Us degenerate slur reclaime,2019-12-02 12:10:25,#C7EEFF,#222222,Sans Serif, 
104,https://touika.tumblr.com/,#FAFAFA,Helvetica Neue,,2019-11-16 03:57:52,#529ECC,#444444,Gibson,
105,https://egoteque.tumblr.com/,#FAFAFA,Helvetica Neue, no bellissima Gal Godot ma cosa c’entra con Wonder Woman comunque seriamente devo andare a farmi co,2019-12-03 22:23:57,#89CFAC,#444444,Gibson, 
106,https://mrsdewinters.tumblr.com/,#FAFAFA,Helvetica Neue,,2019-12-03 07:00:18,#529ECC,#529ECC,Avalon,
107,https://qhronophobia.tumblr.com/,#FAFAFA,Helvetica Neue, I love queer eye but even seeing kiko in the new season is just making my ed go hog wild it’s a too,2019-11-21 22:31:13,#529ECC,#444444,Gibson, adhd gothic ASHFHAASHFFADGHD
108,https://olicitytropes.tumblr.com/,#72C59C,Helvetica Neue, What a perfect way to dive into the fanfic writing world and what a fantastic fic to start the holi,2019-12-04 00:00:12,#27503C,#27503C,Pratt Pro, Holiday Highlights Olicity’s ‘Holiday Tropes’ Challenge Olicity’s ‘Holiday Tropes’ Challenge Olicity’s ‘Holiday Tropes’ Challenge 2019 Rec Lists Olicity Tropetastic Awards Fandom Writers Olicity Tropetastic Awards Fandom Writers Olicity Tropetastic Awards Other Inspirations Olicity Tropetastic Awards Felicity Smoak Olicity Tropetastic Awards Other Inspirations Olicity Tropetastic Awards Felicity Smoak Olicity Tropetastic Awards Season Seven Olicity Tropetastic Awards Season Seven Olicity Tropetastic Awards Season Six Update 
109,https://kghn.tumblr.com/,#FAFAFA,Helvetica Neue,,2018-08-08 00:24:00,#529ECC,#444444,Gibson,
110,https://kaisdesk.tumblr.com/,#ffd000,Helvetica Neue, i have an aesthetic blog incase any1 cares lmao i bouta b active on that so lmao ,2018-05-28 16:23:03,#D95E40,#444444,Gibson,
111,https://studysmartbegreat.tumblr.com/,#FFDDF2,Helvetica Neue, THANK YOU I just want to say thank you to every single follower because I’ve just reached 1000 foll,2019-11-26 10:59:56,#00F591,#00F591,FavoritTumblr,
112,https://amaryllis-ah.tumblr.com/,#11261c,Helvetica Neue, The River • Amaryllis A © Facebook Tumblr Instagram 5oopx Gurushots Summer Evenings in the Alpes • ,2018-04-12 20:44:23,#bbe4d0,#FFFFFF,Bodoni Recut FS,
113,https://finehoney.tumblr.com/,#601512,Helvetica Neue,,2019-12-04 01:00:31,#e59360,#1d0808,Quadrat,
114,https://biisousss.tumblr.com/,#FAFAFA,Helvetica Neue, This has forever been my dream apartment and kitchen I hope someday it’ll be mine ,2019-12-04 03:03:48,#529ECC,#444444,Gibson,
115,https://anneonomus.tumblr.com/,#F9D3AB,Helvetica Neue,,2019-12-04 04:27:35,#EEBAAF,#DD7560,Clarendon Text Pro,
116,https://goldenpinof.tumblr.com/,#000000,Helvetica Neue, at least you can still light it every day of December on DanAndPhilGAMES day 4 2014 2016 2017 a Fre,2019-12-04 06:28:14,#234357,#888888,1785 GLC Baskerville, 
117,https://theonlyjarose.tumblr.com/,#ede5f3,Helvetica Neue,,2019-12-03 18:34:34,#56BC8A,#444444,Gibson,
118,https://play6irl.tumblr.com/,#FFC0F0,Helvetica Neue,,2019-12-04 01:00:28,#FC76A4,#444444,Lorimer No 2,
119,https://writing.coffee/,#FAFAFA,Helvetica Neue, Articles blog posts newsletters podcasts tutorial videos online courses masterclasses e books workb,2019-12-03 17:00:52,#5095c5,#444444,Bookmania, 119 Where Do You Start 118 A Friendly Reminder 118 A Friendly Reminder 117 What’s Good Enough 
120,https://ramune-tea.tumblr.com/,#FFFFFF,Helvetica Neue, ❀ Boku No Hero Academia ❀ 僕のヒーローアカデミア ❀ ･ ･ ♡ ｡･ Nejire Hado 波動ねじれ ･｡ ♡ ･ My edit Please do not rem,2019-03-22 22:43:24,#ffffff,#444444,Kaiti,
121,https://catholic-on-main.tumblr.com/,#FAFAFA,Helvetica Neue, Felt compelled to say a rosary during work today For whoever needed that prayer I hope things get b,2019-12-03 20:27:24,#529ECC,#444444,Gibson, Important Warning Please Read and Share feel free to unfollow if you Praying for non Catholics who die
122,https://dailyvideogames.tumblr.com/,#FFFFFF,Helvetica Neue, your hair is really green… ,2019-12-03 21:37:16,#FFD800,#000000,Helvetica Neue,
123,https://artsykyrah.tumblr.com/,#E5D8D8,Helvetica Neue, Hi guys I’ve been gone for so long bc life’s just been so busy I’ll try to be on here more I hope y,2019-11-11 08:53:26,#9AD9FF,#2C2027,Grumpy Black 48, 
124,https://kill-the-head.tumblr.com/,#000000,Helvetica Neue,,2019-12-03 23:30:28,#000000,#FFFFFF,Calluna,
125,https://tenderstems.tumblr.com/,#732233,Helvetica Neue, me watching florence pugh in the new marvel film trailer that’s nice for her ,2019-12-03 21:48:35,#FF216E,#FF216E,Avalon,
126,https://goblindefined.tumblr.com/,#FAFAFA,Helvetica Neue, Perfect shoes for being gay and doing crime I have a snowday so I can spend time fulfilling my prim,2019-12-04 03:04:22,#529ECC,#444444,Gibson, Avatar challenge 
127,https://couponkids.tumblr.com/,#ffffff,Helvetica Neue, no smoothies i can update my comic like this it counts Not a funny one but somethin i been itchin a,2019-12-03 21:03:59,#529ECC,#d14274,Calluna Sans,
128,https://spartanlocke.tumblr.com/,#FAFAFA,Helvetica Neue, wrote “reasons why bungie won’t bring back cayde when they brought back saint 14” anyway so here it,2019-12-04 06:35:42,#bbe4d0,#444444,Gibson,
129,https://mysteelecreek.tumblr.com/,#FFFFFF,Helvetica Neue,,2019-12-03 18:06:49,#79766e,#7e7c72,Baskerville,
130,https://wanderlusteurope.tumblr.com/,#FAFAFA,Helvetica Neue, Astir Beach Bar Vouliagmeni Greece Chatsworth House Derbyshire England Le Comptoir de Mathilde Lyon,2019-12-04 02:57:13,#529ECC,#444444,Sans Serif,
131,https://tresbongout.com/,,,,2019-12-03 07:25:14,,,,
132,https://study-with-chrissy.tumblr.com/,#FFFFFF,Helvetica Neue,,2019-11-27 02:40:17,#CCCCCC,#444444,FavoritTumblr, 
133,https://mushyperalta.tumblr.com/,#bfbfbf,Helvetica Neue,,2019-12-04 05:36:39,#666666,#222222,Lorimer No 2, 
134,https://honeyscentedbitch.tumblr.com/,#000000,Helvetica Neue,,2019-11-29 19:47:41,#FFFFFF,#FFFFFF,Streetscript, 
135,https://janevillanueva.tumblr.com/,#FAFAFA,Helvetica Neue, getting a hot beverage be like… in half an hour i can drink this ima keep it real with u chief my c,2019-12-04 04:01:57,#529ECC,#444444,Gibson,
136,https://blueskittles-art.tumblr.com/,#c1e3f0,Helvetica Neue, a link to the past’s kakariko village bg music and one of the tracks from ddlc sound just similar e,2019-12-04 03:20:31,#ffffff,#314a70,1785 GLC Baskerville,
137,https://perfectopposite.tumblr.com/,#ffffff,Helvetica Neue, The Mandalorian phone lockscreens requested by bistormtrooper two lockscreens 1920x1080 click to lo,2019-12-04 05:02:27,#d62d0b,#444444,Avalon,
138,https://inluces.tumblr.com/,#315f7a,Helvetica Neue,,2019-11-30 20:24:56,#EEEEEE,#dcecf5,Quadrat,
139,https://drkgf.tumblr.com/,#C5DAE2,Helvetica Neue, Please duck ,2019-08-18 04:41:32,#FFBA2B,#000000,Spade,
140,https://just-shower-thoughts.tumblr.com/,#FAFAFA,Helvetica Neue, I wonder who taste tests flavoured condoms ,2019-11-17 23:35:04,#444444,#444444,Gibson,
141,https://diagnosednostalgia-blog.tumblr.com/,#ffffff,Helvetica Neue, George Jones Studies of Royal House Artillery Uniforms for The Battle of Waterloo 1815 Axel Fridell,2014-03-05 20:59:37,#48a1b4,#444444,Gibson,
142,https://popsflava.tumblr.com/,#FAFAFA,Helvetica Neue, come show me yo true colors ,2019-12-03 20:53:54,#000000,#444444,Ziclets, 
143,https://thearablifestyle.tumblr.com/,#FFFFFF,Helvetica Neue,,2017-11-29 09:32:04,#234357,#444444,Avalon,
144,https://311616am.tumblr.com/,#cdb8af,Helvetica Neue,,2019-12-04 00:23:30,#fce1d4,#ffcec0,Brutal Type,
145,https://montypythonfan.tumblr.com/,#FAFAFA,Helvetica Neue,,2016-04-13 20:30:49,#529ECC,#444444,Gibson,
146,https://bakusaiga.tumblr.com/,#000000,Helvetica Neue, odio la tesis me quiero matar mk estos ultimos dias vengo al compu literal a nada y asi se me pasa ,2019-12-03 14:00:32,#ED2424,#ED2424,Lorimer No 2,
